,Site,Type,Cover,Shade_Tree.Density,Mean_shadetree_DBH,Cocoa_density,Cocoa_Yield,Cocoa_Yield_Tree,Cocoa_DBH,Disease_total,Blackpod,Other.diseases,Mistletoe,Carbon,Nitrogen,Phosphorus,P.resin,CEC.eff,K.ex,Ca.ex,Mg.ex,Na.ex,pH,Bulk.density,Temp.Mean.Oct.2015,Temp.Mean.Oct.2016,Temp.Mean.Feb.2016,Temp.Mean.Feb.2017,Temp.Max.Oct.2015,Temp.Max.Oct.2016,Temp.Max.Feb.2016,Temp.Max.Feb.2017,RH.mean.Oct.2015,RH.mean.Oct.2016,RH.mean.Feb.2016,RH.mean.Feb.2017,RH.Min.Oct.2015,RH.Min.Oct.2016,RH.Min.Feb.2016,RH.Min.Feb.2017,Soil.moisture.Aug.2015,Soil.moisture.Feb.2016,Light_Sep.2016,Light_Feb.2016,ABG_Carbon_stocks ,Litter_Biomass,Tree.richness,Bird.richness,Ant.richness,Frog.richness
Units,,,(%),(shade trees ha-1),(cm),(cocoa trees ha-1),(kg ha-1 y-1),(kg tree-1 y-1),(cm),(%),(%),(%),(Nr. plants ha-1),(t ha-1),(t ha-1),(kg ha-1), (kg ha-1),(cmolc kg-1),(mg kg-1) ,(mg kg-1) ,(mg kg-1) ,(mg kg-1) ,, (g cm-³),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(t_C_ha-1 ),(kg_m2),(Nr. of species),(Nr. of species),(Nr. of species),(Nr. of species)
,H,Agro,48.7,44.44,41.66,1644.28,632.82,0.38,10.45,14.34,7.38,6.96,55.55,37.70,3.43,221.77,7.29,15.80,93.09,2282.66,276.15,5.63,6.99,1.13,25.85,25.97,26.40,26.84,32.72,32.64,37.35,35.79,87.09,86.37141801,65.84,77.10281801,58.55,61.77227097,25.88,39.94820714,28.04,11.07,47.63,74.79,30.56,0.83,4,,,
,H,Mono,0.0,0,0,1566.51,565.65,0.36,11.58,17.83,6.89,10.94,455.51,30.30,2.61,126.47,9.54,10.05,54.77,1398.25,203.91,5.90,6.79,1.26,26.13,26.50,26.60,27.54,33.61,36.39,37.40,38.07,86.73,84.71245228,65.19,74.8278058,55.63,49.52325806,25.72,35.56778571,26.48,7.22,100.00,100.00,11.27,1.26,1,,,
,A,Agro,52.1,66.66,34,966.57,485.89,0.50,12.70,18.54,5.80,12.73,22.22,48.73,4.86,230.38,6.27,16.88,194.08,2706.73,329.36,5.95,7.01,1.12,25.78,25.29,26.68,27.04,31.85,31.66,36.37,35.02,87.69,89.09212527,63.93,76.15858705,61.55,66.1455129,27.33,42.05660714,24.11,13.80,58.46,68.50,34.15,1.26,7,15,12,7
,A,Mono,0.0,0,0,977.68,520.19,0.53,13.64,20.64,4.54,16.10,255.53,41.50,3.75,207.21,8.03,15.76,123.03,2383.01,342.97,5.63,7.16,1.16,26.02,25.65,26.85,27.23,32.94,33.22,37.00,36.02,86.5,88.3217547,63.01,75.84241815,57.57,59.51570968,26.17,39.09157143,22.65,12.90,100.00,100.00,9.88,0.96,2,7,7,5
,P,Agro,63.4,177.8,31.225,1622.06,425.69,0.26,10.72,19.67,5.07,14.60,44.44,35.48,3.20,146.27,10.60,11.57,71.80,1816.76,234.99,5.90,6.79,1.20,25.80,25.27,26.82,27.18,31.95,31.25,36.64,35.31,87.35,89.63382702,63.12,74.92403244,61.18,66.28145161,26.42,40.25927143,20.43,5.74,49.69,57.36,45.05,1.48,12,,,
,P,Mono,0.0,0,0,1144.33,377.45,0.33,13.50,28.83,4.41,24.42,411.07,43.04,3.75,184.47,9.45,14.25,93.83,2784.10,247.18,4.50,7.27,1.27,26.16,26.12,27.08,27.50,33.64,35.10,37.97,36.60,86.54,86.83272917,63.54,74.51402083,55.39,53.8623871,25.02,37.37460714,25.86,7.69,100.00,100.00,11.03,1.25,1,,,
,X,Agro,68.4,111.1,35.15,944.35,338.34,0.36,11.14,18.33,7.14,11.19,0.00,22.72,1.93,63.69,8.56,6.57,48.10,999.78,134.36,4.77,6.42,1.28,25.59,25.17,26.23,26.73,31.38,31.01,36.20,34.53,88.11,90.23468763,65.24,76.59369327,62.04,67.07373548,26.87,41.52886607,,3.45,35.73,23.20,50.44,0.95,10,,,
,X,Mono,0.0,0,0,1266.54,704.62,0.56,12.67,17.41,6.14,11.27,266.64,32.70,2.73,198.36,11.85,11.44,79.01,1819.45,178.44,5.68,7.02,1.34,25.98,25.67,26.55,27.15,33.14,33.43,37.13,36.30,86.49,88.5630961,64.63,75.78798661,56.2,59.65235484,25.51,39.00114286,,7.78,100.00,100.00,10.78,1.16,1,,,
,S,Agro,69.6,55.55,58.18,911.02,303.75,0.33,11.86,17.46,5.62,11.83,,33.82,2.94,160.54,9.20,7.13,78.01,1107.54,160.11,4.54,6.12,1.22,25.62,25.08,26.69,27.04,31.40,30.62,36.21,34.68,87.85,89.39010712,62.94,74.88729003,62.64,66.84572903,26.2,40.65183571,13.05,5.88,20.66,30.77,68.26,1.27,6,11,16,4
,S,Mono,0.0,0,0,1111.00,926.46,0.83,12.94,13.02,6.41,6.61,,64.95,5.68,381.93,15.29,19.14,118.69,3240.45,300.68,5.18,7.14,1.24,25.86,25.53,27.05,27.40,32.54,32.52,37.02,35.63,86.87,88.23903024,61.93,74.29799702,58.86,61.10025806,25.37,39.60621429,16.96,9.23,100.00,100.00,9.88,1.33,2,2,10,4
,C,Agro,72.4,44.44,56.725,899.91,205.53,0.23,12.87,19.81,6.05,13.76,333.30,40.63,3.97,221.07,5.13,13.91,61.80,2216.89,236.68,6.37,7.01,1.21,25.71,25.25,27.09,27.56,31.04,31.19,36.30,35.29,87.23,89.0459911,61.05,72.7018506,63.81,65.69401613,26.34,39.64325714,20.31,12.12,28.74,56.96,62.00,1.46,4,,,
,C,Mono,0.0,0,0,699.93,453.30,0.65,14.65,18.46,4.62,13.85,422.18,32.83,3.12,113.67,6.50,9.70,114.38,1577.75,204.48,5.21,7.01,1.27,25.97,25.64,27.09,27.55,33.28,33.65,37.51,36.40,86.4,88.06940659,61.9,73.64909152,56.72,58.83141935,25.92,38.94814286,25.26,13.62,100.00,100.00,8.12,1.34,1,,,
,U,Agro,76.2,144.43,27.817,1288.76,132.86,0.10,8.15,16.59,8.81,7.78,111.10,45.43,3.96,206.75,14.31,14.88,129.96,2208.86,238.39,5.98,6.84,0.97,25.60,25.45,28.00,27.88,31.40,31.91,36.68,35.52,86.86,87.46125554,57.41,71.79633953,61.81,62.08378226,25.58,38.49988095,8.30,1.65,33.38,57.52,34.37,1.3,11,21,15,3
,U,Mono,0.0,0,0,877.69,674.96,0.77,13.42,14.21,5.21,9.00,599.94,43.50,3.92,228.54,6.37,15.87,100.47,2693.24,246.89,7.53,7.04,1.07,25.91,25.64,27.98,27.88,32.89,32.90,37.15,35.80,85.82,87.17062097,57.84,71.85004241,57.63,59.38219355,25.63,38.68210714,14.61,6.39,100.00,100.00,8.32,1.15,1,2,11,2
